1849.97,0
1849.63,0.05
1860.23,0.1
1859.43,0.15
1863.59,0.2
1865.67,0.25
1860.75,0.3
1856.38,0.35
1845.02,0.4
1846.89,0.45
1858.97,0.5
1858.79,0.55
1865.15,0.6
1859.14,0.65
1865.85,0.7
1856.72,0.75
1860.41,0.8
1855.75,0.85
1890.66,0.9
1942,0.95
1998.33,1
2065.19,1.05
2132.8,1.1
2262.36,1.15
2377.08,1.2
2480.06,1.25
2631.46,1.3
2730.25,1.35
2851.03,1.4
2973.83,1.45
3104.95,1.5
3231.89,1.55
3358.9,1.6
3477.05,1.65
3564,1.7
3601.44,1.75
3635.48,1.8
3654.75,1.85
3653.19,1.9
3719.09,1.95
3755.4,2
3727.4,2.05
3743.22,2.1
3704.85,2.15
3669.5,2.2
3699.36,2.25
3688,2.3
3724.39,2.35
3746.25,2.4
3752.11,2.45
3744.85,2.5
3732.97,2.55
3704.39,2.6
3727.17,2.65
3707.14,2.7
3735.99,2.75
3763.64,2.8
3742.51,2.85
3770.74,2.9
3753.05,2.95
3775.72,3
3798.67,3.05
3797.71,3.1
3790.03,3.15
3800.6,3.2
3855.3,3.25
3816.79,3.3
3810.98,3.35
3809.52,3.4
3829.22,3.45
3782.15,3.5
3796.27,3.55
3783.1,3.6
3799.87,3.65
3781.67,3.7
3801.32,3.75
3800.6,3.8
3792.19,3.85
3830.19,3.9
3807.83,3.95
3818.74,4
3817.52,4.05
3839.26,4.1
3780.72,4.15
3768.13,4.2
3782.15,4.25
3819.47,4.3
3800.6,4.35
3782.15,4.4
3810.25,4.45
3793.15,4.5
3801.32,4.55
3821.41,4.6
3827.75,4.65
3790.99,4.7
3809.52,4.75
3772.4,4.8
3783.82,4.85
3773.35,4.9
3781.19,4.95
3813.16,5
3810.98,5.05
3780.96,5.1
3781.67,5.15
3790.75,5.2
3761.52,5.25
3799.15,5.3
3801.32,5.35
3790.27,5.4
3789.55,5.45
3810.49,5.5
3839.75,5.55
3819.22,5.6
3789.55,5.65
3856.78,5.7
3830.19,5.75
3808.07,5.8
